name,total,wgs84aX,wgs84aY
竹崙市民活動中心,"113","121.43489807359725","24.908777509709672"
建安國小,"290","121.4458579686144","24.92755300587735"
大有市民活動中心,"148","121.40447041570417","24.872572600700238"
五寮市民活動中心,"137","121.35932803654987","24.856769036807055"
明德高級中學,"1787","121.36390994502798","24.906933409995432"
台北榮家,"617","121.39370594331652","24.910247169584846"
大埔國小,"625","121.3664644091701","24.9057431750539"
大成國小,"184","121.4275029765275","24.924214835668646"
民義國小,"97","121.37003901343456","24.912249042496782"
三鶯大橋,"100000","121.35604670000001","24.941270399999997"
三鶯二橋,"100000","121.3708011","24.959291800000003"
柑園橋,"100000","121.39344370000002","24.9641363"
柑園二橋,"100000","121.4049028","24.963910300000002"
三鶯交流道1,"100000","121.3617007","24.938598"
三鶯交流道2,"100000","121.35740420000002","24.939975"
